leaf,path,gb_taxon_id,name,level,type,href,plink,pcount
False,0,2509481,Embecovirus,subgenus,circle,wwwtax.cgi?mode=Tree&id=2509481&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2509481[Organism:exp],7379
False,0.2509481,694003,Betacoronavirus 1,species,circle,wwwtax.cgi?mode=Tree&id=694003&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid694003[Organism:exp],5809
False,0.2509481.694003,11128,Bovine coronavirus,no rank,circle,wwwtax.cgi?mode=Tree&id=11128&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11128[Organism:exp],2293
True,0.2509481.694003.11128,702702,Bovine coronavirus Bubalus/153/ITA/2008,no rank,square,wwwtax.cgi?mode=Info&id=702702&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid702702[Organism:exp],1
True,0.2509481.694003.11128,702703,Bovine coronavirus Bubalus/155/ITA/2008,no rank,square,wwwtax.cgi?mode=Info&id=702703&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid702703[Organism:exp],1
True,0.2509481.694003.11128,702700,Bovine coronavirus Bubalus/339/ITA/2007,no rank,square,wwwtax.cgi?mode=Info&id=702700&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid702700[Organism:exp],1
True,0.2509481.694003.11128,702701,Bovine coronavirus Bubalus/82/ITA/2008,no rank,square,wwwtax.cgi?mode=Info&id=702701&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid702701[Organism:exp],1
True,0.2509481.694003.11128,473588,Bovine coronavirus Bubalus/Italy/179/07-11,no rank,square,wwwtax.cgi?mode=Info&id=473588&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid473588[Organism:exp],11
True,0.2509481.694003.11128,756646,Bovine coronavirus cow/WDBR-1005/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756646&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756646[Organism:exp],1
True,0.2509481.694003.11128,756647,Bovine coronavirus cow/WDBR-1275/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756647&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756647[Organism:exp],1
True,0.2509481.694003.11128,756651,Bovine coronavirus cow/WDBR-54/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756651&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756651[Organism:exp],1
True,0.2509481.694003.11128,756641,Bovine coronavirus cow/WDBR-729/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756641&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756641[Organism:exp],1
True,0.2509481.694003.11128,756642,Bovine coronavirus cow/WDBR-841/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756642&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756642[Organism:exp],1
True,0.2509481.694003.11128,756643,Bovine coronavirus cow/WDBR-887/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756643&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756643[Organism:exp],1
True,0.2509481.694003.11128,756648,Bovine coronavirus cow/WDBR-9146/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756648&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756648[Organism:exp],1
True,0.2509481.694003.11128,756649,Bovine coronavirus cow/WDBR-9215/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756649&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756649[Organism:exp],1
True,0.2509481.694003.11128,756650,Bovine coronavirus cow/WDBR-9224/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756650&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756650[Organism:exp],1
True,0.2509481.694003.11128,756644,Bovine coronavirus cow/WDBR-923/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756644&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756644[Organism:exp],1
True,0.2509481.694003.11128,756640,Bovine coronavirus cow/WDBR-96/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756640&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756640[Organism:exp],1
True,0.2509481.694003.11128,756645,Bovine coronavirus cow/WDBR-978/BRA/2003,no rank,square,wwwtax.cgi?mode=Info&id=756645&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid756645[Organism:exp],1
True,0.2509481.694003.11128,398808,Bovine coronavirus DB2,no rank,square,wwwtax.cgi?mode=Info&id=398808&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid398808[Organism:exp],12
False,0.2509481.694003.11128,422220,Bovine coronavirus E-AH187,no rank,circle,wwwtax.cgi?mode=Tree&id=422220&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422220[Organism:exp],23
True,0.2509481.694003.11128.422220,454963,Bovine coronavirus E-AH187-TC,no rank,square,wwwtax.cgi?mode=Info&id=454963&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid454963[Organism:exp],12
False,0.2509481.694003.11128,422217,Bovine coronavirus E-AH65,no rank,circle,wwwtax.cgi?mode=Tree&id=422217&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422217[Organism:exp],22
True,0.2509481.694003.11128.422217,422218,Bovine coronavirus E-AH65-TC,no rank,square,wwwtax.cgi?mode=Info&id=422218&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422218[Organism:exp],11
True,0.2509481.694003.11128,422216,Bovine coronavirus E-DB2-TC,no rank,square,wwwtax.cgi?mode=Info&id=422216&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422216[Organism:exp],12
True,0.2509481.694003.11128,230235,Bovine coronavirus G95,no rank,square,wwwtax.cgi?mode=Info&id=230235&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid230235[Organism:exp],1
True,0.2509481.694003.11128,404135,Bovine coronavirus isolate Alpaca,no rank,square,wwwtax.cgi?mode=Info&id=404135&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid404135[Organism:exp],9
False,0.2509481.694003.11128,231419,Bovine coronavirus LSU,no rank,circle,wwwtax.cgi?mode=Tree&id=231419&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid231419[Organism:exp],10
True,0.2509481.694003.11128.231419,233261,Bovine coronavirus (strain LSU-94LSS-051),no rank,square,wwwtax.cgi?mode=Info&id=233261&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid233261[Organism:exp],10
True,0.2509481.694003.11128,11131,Bovine coronavirus LY-138,no rank,square,wwwtax.cgi?mode=Info&id=11131&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11131[Organism:exp],10
True,0.2509481.694003.11128,11132,Bovine coronavirus Mebus,no rank,square,wwwtax.cgi?mode=Info&id=11132&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11132[Organism:exp],12
True,0.2509481.694003.11128,422219,Bovine coronavirus R-AH187,no rank,square,wwwtax.cgi?mode=Info&id=422219&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422219[Organism:exp],11
False,0.2509481.694003.11128,422214,Bovine coronavirus R-AH65,no rank,circle,wwwtax.cgi?mode=Tree&id=422214&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422214[Organism:exp],22
True,0.2509481.694003.11128.422214,422215,Bovine coronavirus R-AH65-TC,no rank,square,wwwtax.cgi?mode=Info&id=422215&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422215[Organism:exp],11
True,0.2509481.694003.11128,11129,Bovine coronavirus strain F15,no rank,square,wwwtax.cgi?mode=Info&id=11129&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11129[Organism:exp],7
True,0.2509481.694003.11128,11130,Bovine coronavirus strain L9,no rank,square,wwwtax.cgi?mode=Info&id=11130&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11130[Organism:exp],2
False,0.2509481.694003.11128,231421,Bovine coronavirus strain OK,no rank,circle,wwwtax.cgi?mode=Tree&id=231421&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid231421[Organism:exp],10
True,0.2509481.694003.11128.231421,231432,Bovine coronavirus (strain OK-0514-3),no rank,square,wwwtax.cgi?mode=Info&id=231432&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid231432[Organism:exp],10
True,0.2509481.694003.11128,231422,Bovine coronavirus strain Ontario,no rank,square,wwwtax.cgi?mode=Info&id=231422&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid231422[Organism:exp],5
True,0.2509481.694003.11128,11133,Bovine coronavirus strain Quebec,no rank,square,wwwtax.cgi?mode=Info&id=11133&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11133[Organism:exp],12
True,0.2509481.694003.11128,11134,Bovine coronavirus strain vaccine,no rank,square,wwwtax.cgi?mode=Info&id=11134&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11134[Organism:exp],1
True,0.2509481.694003.11128,535601,Bovine coronavirus UP1/PRT/2005,no rank,square,wwwtax.cgi?mode=Info&id=535601&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid535601[Organism:exp],1
True,0.2509481.694003.11128,535602,Bovine coronavirus UP2/PRT/2005,no rank,square,wwwtax.cgi?mode=Info&id=535602&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid535602[Organism:exp],1
True,0.2509481.694003.11128,233262,Bovine enteric coronavirus (strain 98TXSF-110-ENT),no rank,square,wwwtax.cgi?mode=Info&id=233262&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid233262[Organism:exp],12
True,0.2509481.694003.11128,502108,Bovine respiratory coronavirus AH187,no rank,square,wwwtax.cgi?mode=Info&id=502108&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid502108[Organism:exp],12
True,0.2509481.694003.11128,502105,Bovine respiratory coronavirus bovine/US/OH-440-TC/1996,no rank,square,wwwtax.cgi?mode=Info&id=502105&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid502105[Organism:exp],11
True,0.2509481.694003.11128,233264,Bovine respiratory coronavirus (strain 98TXSF-110-LUN),no rank,square,wwwtax.cgi?mode=Info&id=233264&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid233264[Organism:exp],12
